Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,1.17961196366423E-16,-0.005,0,0,0,1.119929293,0.0457397788749417,1.61839482534769E-19,-1.34623389491054E-19,0.0933367738274418,-3.05515943709814E-17,0.139057887214167,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,base-1,Coordinate base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotation base Link,0.000454152537713748,-6.72401960152835E-08,-0.028776923437594,0,0,0,0.419501289690015,0.000354846386614952,2.32050175601008E-10,-1.5024086956712E-06,0.000342622718911629,8.91247938606488E-11,0.000609766761493375,0,0,0,0,0,0,package://Assem1/meshes/rotation base Link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/rotation base Link.STL,,[3879] Servo Motor Horn for MG995 MG996 Series Motor SunRobotics_in_fron-8;servo-3;servo base cover-1;servo base-1,Coordinate rotation,rotation Axis,rotation,revolute,-0.27,0.005,0.050025,0,0,0,base_link,0,0,1,0,0,0,0,,,0.01,0.1,,,,
s Link,0.012028606141393,-0.0301289734234791,-0.0472467702737331,0,0,0,0.249151926355025,0.000250989324405836,3.2594394789444E-05,-4.55970167239391E-06,0.000179678169139989,1.29725037514146E-05,0.00014432093410914,0,0,0,0,0,0,package://Assem1/meshes/s Link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/s Link.STL,,holder 1-1;holder 2-1;sholder motor base-1;servo-1;[3879] Servo Motor Horn for MG995 MG996 Series Motor SunRobotics_in_fron-2,Coordinate shoulder,shoulder Axis,shoulder,revolute,-0.011397,0.029336,0.080875,0,0,0,rotation base Link,-0.36213,0.93213,0,0,0,0,0,,,0.01,0.1,,,,
e Link,0.0482932369137896,-0.0160724952944176,-0.0497524528610963,0,0,0,0.169188267255126,0.000249159004737321,2.48274373568051E-05,6.33068583898734E-05,0.000177620831218379,3.25335797778853E-05,0.00022256603674734,0,0,0,0,0,0,package://Assem1/meshes/e Link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/e Link.STL,,pin-1;elbow-1;elbow 2-1;servo-2;[3879] Servo Motor Horn for MG995 MG996 Series Motor SunRobotics_in_fron-3;pin-2;pin back-1;pin back-2,Coordinate elbowe,elbowe Axis,elbowe,revolute,-0.087261,-0.031863,0.11778,0,0,0,s Link,-0.36213,0.93213,0,0,0,0,0,,,0.01,0.1,,,,
r Link,0.0551658736729042,-0.0152617065291703,0.0114991001173112,0,0,0,0.173739506723998,0.000152675088082175,5.60082392838372E-06,-2.1191962288473E-05,0.00012027690077077,-1.01302759456603E-05,0.000236119083017412,0,0,0,0,0,0,package://Assem1/meshes/r Link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/r Link.STL,,rest-1;rest 2-1;pin-3;pin back-3;pin-4;pin back-4;CAD_TD-8120mg_Tiankongrc_DigitalServo-1;[3879] Servo Motor Horn for MG995 MG996 Series Motor SunRobotics_in_fron-4,Coordinate rest,rest Axis,rest,revolute,-0.1189,-0.041688,-0.032264,0,0,0,e Link,-0.36213,0.93213,0,0,0,0,0,,,0.01,0.1,,,,
" yaw Link",0.0110027197579639,0.00427050430050546,0.0400984756384969,0,0,0,0.0986783100079435,5.88285318071792E-05,-6.57085728432645E-06,-7.21024663628286E-06,7.32001813073196E-05,-2.8018744778366E-06,9.76176217007906E-05,0,0,0,0,0,0,package://Assem1/meshes/ yaw Link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/ yaw Link.STL,,rest system-1;Servo MG996R-1;[3879] Servo Motor Horn for MG995 MG996 Series Motor SunRobotics_in_fron-7,Coordinate System6,yaw Axis,yaw,revolute,-0.046014,-0.049122,-0.054627,0,0,0,r Link,0.27703,0.10763,-0.95482,0,0,0,0,,,0.01,0.1,,,,
roll Link,0.0319740680201726,-0.00425177383868128,0.0156238981562567,0,0,0,0.118541040397138,7.9523681634328E-05,-1.90134536854391E-07,1.24151839801884E-05,0.000100045838337494,6.11264368777227E-06,4.83207107015094E-05,0,0,0,0,0,0,package://Assem1/meshes/roll Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/roll Link.STL,,Servo MG996R-2;[3879] Servo Motor Horn for MG995 MG996 Series Motor SunRobotics_in_fron-5;yaw & roll-1,Coordinate roll,roll Axis,roll,revolute,-0.082305,0.00503,0.004415,0,0,0," yaw Link",-0.95849,0.10074,-0.26674,0,0,0,0,,,0.01,0.1,,,,
